COUNTRY,CATEGORY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,GDP AVG
Sweden,GDP Per Capita,36365.4465,36757.16036,37610.00249,38419.24749,39974.52952,41167.60861,42866.07268,44215.69344,43874.98988,41469.73997,43696.06565,44641.65566
Sweden,GDP,324.51,328.61,336.77,344.63,359.23,370.58,386.51,399.32,396.87,375.70,396.50,
Australia,"Advertising, market research and public opinion polling",94.0549,91.3174,107.474,125.55,109.654,136.603,177.696,228.452,281.659,0,0,
Australia,Research and Development,149.457,145.679,168.204,234.965,302.348,325.946,345.941,468.356,486.491,0,0,
Australia,"Architectural, engineering and other technical services",576.678,403.127,445.531,526.704,533.365,756.174,954.173,1274.16,1598.63,0,0,
Australia,"Personal, cultural and recreational services",1058.36,297.285,418.519,468.814,421.219,437.564,502.327,509.993,671.199,0,0,
Australia,  Audiovisual and related services,863.393,65.1537,92.6892,133.313,132.357,125.999,151.396,140.203,193.939,0,0,
Australia,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Australia,GDP Per Capita,34361.7074,34604.22851,35486.88724,36179.34413,37246.52078,37855.14017,38527.63716,39478.88505,40449.11029,40478.95565,41101.64659,41577.0063
Australia,GDP,654.70,667.66,693.23,715.14,744.75,765.90,789.41,819.17,849.73,860.69,884.33,
Finland,"Advertising, market research and public opinion polling",0,0,72.665,128.064,169.142,162.396,0,0,169.281,233.7,177.158,
Finland,Research and Development,0,0,188.363,319.37,291.959,340.832,0,0,410.818,362.244,365.569,
Finland,"Architectural, engineering and other technical services",0,0,236.869,307.481,348.572,407.833,0,0,498.327,378.553,325.576,
Finland,"Personal, cultural and recreational services",3.69323,10.7425,11.6264,29.5637,16.0046,12.5533,24.2946,19.4187,41.01512433,6.59729,8.84887,
Finland,  Audiovisual and related services,0,3.58082,5.8887,25.9022,5.21889,7.37258,0,12.0221,0,0,0,
Finland,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Finland,GDP Per Capita,33739.7091,34432.20241,34977.77985,35603.75845,37000.51222,38014.36862,39630.86162,41688.77311,42048.25997,38548.47722,39916.55927,41560.12618
Finland,GDP,174.39,178.37,181.64,185.30,192.94,198.57,207.32,218.38,220.53,202.39,209.76,
United Kingdom,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,"Personal, cultural and recreational services",1972.74,1953.97,2410.25,3086.03,3928.42,4082.28,3932.15,3758.87,4210.98,3168.35,3951.22,
United Kingdom,  Audiovisual and related services,1478.5,1308.48,1565.04,2088.88,2856.96,2860.97,2661.67,2303.17,2520.4,1354.06,1804.18,
United Kingdom,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,GDP Per Capita,34082.21889,34783.00626,35377.30074,36235.76761,37116.91906,37697.45,38519.47569,39293.8119,39017.60422,36903.50538,37154.4683,40618.15281
United Kingdom,GDP,2015.62,2065.23,2108.54,2167.75,2231.73,2280.22,2343.79,2406.72,2405.15,2287.90,2316.52,
Belgium,"Advertising, market research and public opinion polling",1179.15,2095.89,1898.6,2616.95,2470.22,2551.22,2604.68,1826.47,2546.88,2774.15,3788.47,
Belgium,Research and Development,926.426,715.49,794.633,1224.09,1539.98,1719.65,1838.5,1907.45,2829.98,4157.07,3298.49,
Belgium,"Architectural, engineering and other technical services",703.577,665.723,806.967,1014.91,1144.62,1285.97,1480.36,332.195,1243.72,1239.46,1425.42,
Belgium,"Personal, cultural and recreational services",628.156,601.986,288.626,367.992,453.887,518.422,558.415,483.858,588.543,591.964,613.133,
Belgium,  Audiovisual and related services,488.665,459.553,240.287,296.666,384.544,443.857,470.37,326.139,541.421,513.317,526.72,
Belgium,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Belgium,GDP Per Capita,33908.56648,34081.97385,34479.87343,34687.32345,35748.89947,36305.46053,37229.96811,38269.4825,38610.21089,37510.94997,38293.86739,39912.65761
Belgium,GDP,348.02,350.76,355.56,358.35,369.94,376.28,386.41,397.71,401.70,390.65,399.16,
Japan,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
Japan,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
Japan,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
Japan,"Personal, cultural and recreational services",116.004,118.05,315.35,140.177,72.3268,96.8608,139.964,155.754,154.544,163.515,150.975,
Japan,  Audiovisual and related services,57.0024,61.014,78.5675,83.6435,61.6811,81.9122,103.882,126.279,119.883,111.541,88.9934,
Japan,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Japan,GDP Per Capita,33656.91302,33630.63934,33649.27217,34076.52854,34972.8812,35643.25791,36366.71214,37211.00667,36774.88775,34485.15648,36286.76117,38675.40164
Japan,GDP,4266.88,4274.74,4285.95,4346.54,4465.82,4552.19,4645.03,4754.79,4699.38,4403.90,4629.43,
Canada,"Advertising, market research and public opinion polling",333.693,325.978,349.521,336.756,378.432,501.18,518.574,645.123,684.646,784.457,624.915,
Canada,Research and Development,2850.24,2016.43,1605.31,2334.19,2536.57,2636.29,2868.58,3098.33,3459.8,3224.05,3788.37,
Canada,"Architectural, engineering and other technical services",1787.72,1898.29,2596.32,2802.57,3398.27,4064.05,3719.45,4281.25,4787.14,3847.88,4819.82,
Canada,"Personal, cultural and recreational services",1451.11,1349.72,1271.19,1413.99,1837.56,2069.59,2286.39,2290.54,2183.97,2078.64,2198.27,
Canada,  Audiovisual and related services,1324.22,1221.12,1138.11,1258.55,1660.63,1880.31,2073.12,2017.09,1946.6,1857.44,1954.13,
Canada,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Canada,GDP Per Capita,32153,32437,33107,33467,34248,35007,35698,36174,36058,34882,35663,37889.4
Canada,GDP,999.93,1017.77,1047.54,1067.24,1100.54,1133.76,1165.77,1191.42,1197.59,1168.11,1203.98,
Germany,"Advertising, market research and public opinion polling",1133.98,1232.96,1351.87,1616.98,3205.51,3547.75,3941.62,5255.31,5741.21,5327.3,5827.99,
Germany,Research and Development,4120.56,3478.5,4210.56,5252.89,6300.63,7594.76,8678.75,10504.1,12423.9,11786.9,12540.2,
Germany,"Architectural, engineering and other technical services",2718.37,2968.19,3079.31,6979.1,8926.65,8605.81,9051,10109.3,13348.1,12469.3,12360.7,
Germany,"Personal, cultural and recreational services",394.548,522.977,533.856,1007.17,977.542,1174.92,941.833,1143.87,1063.12,1234.63,1080.71,
Germany,  Audiovisual and related services,394.548,522.977,533.856,1007.17,977.542,1174.92,941.833,1143.87,1063.12,1234.63,1080.71,
Germany,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Germany,GDP Per Capita,32502.98007,32940.28842,32888.59564,32746.79496,33133.99366,33380.18747,34654.37032,35834.89054,36298.74977,34533.50913,35892.67456,37480.70345
Germany,GDP,2671.21,2711.67,2711.94,2701.76,2733.13,2751.84,2853.66,2946.95,2978.87,2826.14,2930.44,
France,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
France,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
France,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
France,"Personal, cultural and recreational services",1589.71,1432.26,1524.15,1863.98,2297.72,2157.94,1742.51,1963.23,2231.37,1902,2021.29,
France,  Audiovisual and related services,1120.63,975.603,1023.46,1288.21,1638.64,1424.02,962.57,1017.53,1169.33,1000.11,963.895,
France,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
France,GDP Per Capita,32224.13908,32632.71541,32749.56955,32862.16741,33502.93121,33910.23809,34537.61403,35110.94704,34876.6733,33733.83118,34048.97745,37018.98038
France,GDP,1970.07,2006.24,2024.87,2043.09,2095.08,2133.34,2185.97,2235.93,2234.12,2173.14,2205.30,
Italy,"Advertising, market research and public opinion polling",1052.09,1044.64,1035.84,1073.05,1339.85,1362.3,1376.84,1579.14,2350.75,1817.47,2158.08,
Italy,Research and Development,569.075,842.111,978.306,952.074,1090.61,995.788,1285.06,1390.03,2576.2,2393.22,1873.26,
Italy,"Architectural, engineering and other technical services",1594.03,1401.82,1550.46,1765.3,1909.19,2317.7,2863.18,3347.36,2768.81,1360.92,1951.11,
Italy,"Personal, cultural and recreational services",544.108,543.463,719.768,720.271,745.262,758.639,945.455,1167.71,255.145,321.402,331.866,
Italy,  Audiovisual and related services,267.671,209.887,228.291,179.576,336.236,327.774,360.233,359.501,124.216,190.545,86.618,
Italy,"    Other other personal, cultural and recreational services",0,0,275.607,319.567,270.285,274.374,411.739,517.041,61.4171,56.787,162.162,
Italy,GDP Per Capita,29513.1844,29973.71209,30034.29569,29895.7255,30157.2405,30189.57251,30682.07385,30952.07921,30306.37714,28549.24319,28782.39831,32903.59024
Italy,GDP,1705.40,1736.41,1744.29,1744.00,1770.71,1782.33,1818.61,1845.57,1821.15,1726.13,1748.50,
Singapore,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
Singapore,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
Singapore,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
Singapore,"Personal, cultural and recreational services",18.5611,34.0546,126.562,154.197,185.161,180.051,203.379,237.547,204.005,179.245,218.628,
Singapore,  Audiovisual and related services,0,0,0,0,0,0,0,0,0,0,0,
Singapore,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Singapore,GDP Per Capita,24433.67556,23521.14512,23878.36992,24354.05861,25967.09224,27233.26287,28926.27669,30757.39844,30526.63475,29658.26758,33261.90621,30251.8088
Singapore,GDP,99.28,98.07,102.23,106.93,116.81,125.43,136.35,148.31,150.52,149.36,170.97,
Hong Kong,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
Hong Kong,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
Hong Kong,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
Hong Kong,"Personal, cultural and recreational services",51.3371,98.99,111.939,137.423,289.685,270.167,280.237,271.64,265.198,135.323,0,
Hong Kong,  Audiovisual and related services,0,0,0,0,0,0,0,0,0,0,0,
Hong Kong,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Hong Kong,GDP Per Capita,21803.15828,21733.19568,21972.59831,22476.01589,24217.56241,25768.92611,27411.96889,28996.37906,29503.56859,28570.3054,30412.37886,28286.60575
Hong Kong,GDP,145.18,145.90,148.59,153.06,166.01,177.77,190.25,202.41,207.07,201.57,215.61,
Spain,"Advertising, market research and public opinion polling",951.681,1027.75,1407.11,1881.08,2106.43,2107.57,2492.5,3207.55,2933.78,2194.79,2290.28,
Spain,Research and Development,410.227,454.694,512.361,589.559,766.795,901.561,1067.65,1168.74,1212.26,961.383,1118.1,
Spain,"Architectural, engineering and other technical services",789.605,939.539,962.16,1103.93,1546.54,1680.59,2672.2,3676.61,4645.42,4982.12,3610.31,
Spain,"Personal, cultural and recreational services",534.98,630.269,671.021,814.268,965.955,1073.29,1243.44,1598.19,1755.72,1672.89,1771.54,
Spain,  Audiovisual and related services,205.25,245.865,256.787,308.499,423.889,461.043,552.302,716.576,750.732,757.499,720.709,
Spain,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Spain,GDP Per Capita,23703.31555,24293.94942,24595.74589,24949.04387,25357.17928,25850.32184,26448.95424,26921.76918,26740.00336,25530.56498,25378.34966,27976.91973
Spain,GDP,962.09,997.19,1024.16,1055.87,1090.36,1129.77,1175.17,1217.18,1227.64,1181.94,1180.24,
Greece,"Advertising, market research and public opinion polling",64.1,99,89.39,158.119,205.724,174.8,168.635,211.992,234.148,165.681,173.004,
Greece,Research and Development,40.2,38,60.3586,57.2499,81.3276,92.6848,102.689,106.512,126.499,127,114.504,
Greece,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
Greece,"Personal, cultural and recreational services",246.3,189,193.722,332.461,966.42,165.681,153.973,218.704,222.356,212.502,188.781,
Greece,  Audiovisual and related services,48.4,42,80.4356,261.966,879.449,93.2105,84.8071,119.144,118.427,134.527,136.562,
Greece,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Greece,GDP Per Capita,18806.07424,19553.90729,20183.81789,21339.06423,22225.92362,22688.3782,23816.48817,24793.37121,25008.30994,24463.75917,23343.24481,24622.23388
Greece,GDP,198.58,206.91,214.03,226.75,236.65,242.05,254.55,265.45,268.16,262.68,250.94,
Portugal,"Advertising, market research and public opinion polling",96.1312,124.86,177.461,175.389,210.702,219.155,244.725,366.209,376.023,342.415,321.153,
Portugal,Research and Development,13.7563,14.5422,29.09,27.8831,29.0925,35.8772,51.5252,57.1238,57.6582,60.4704,52.9238,
Portugal,"Architectural, engineering and other technical services",88.6252,103.828,162.193,141.268,186.18,214.345,355.225,553.715,767.477,861.155,789.007,
Portugal,"Personal, cultural and recreational services",135.507,139.879,114.685,133.808,191.095,204.174,253.615,259.91,298.324,313.581,359.573,
Portugal,  Audiovisual and related services,19.5343,18.9813,20.7773,23.0773,43.0736,27.7816,41.2368,62.1364,89.8805,88.9006,116.689,
Portugal,"    Other other personal, cultural and recreational services",101.452,105.426,77.1244,88.0341,119.954,146.084,161.414,133.765,125.584,140.1,142.442,
Portugal,GDP Per Capita,17826.93065,18088.02746,18134.26813,17886.36533,18088.77945,18153.14252,18345.64753,18718.11962,18656.80265,18136.50514,18340.7123,20037.53008
Portugal,GDP,184.25,187.88,189.21,187.45,190.37,191.81,194.57,199.21,199.20,194.20,196.90,
South Korea,"Advertising, market research and public opinion polling",0,0,0,0,0,0,341.6,366.1,339.2,238,267.2,
South Korea,Research and Development,0,0,0,0,0,0,287.7,506.2,547.1,505.9,344.7,
South Korea,"Architectural, engineering and other technical services",0,0,0,0,0,0,250.137,323.1,424.8,369.1,403.4,
South Korea,"Personal, cultural and recreational services",136.6,138.3,184.8,76.2,128,267.8,368.6,447.7,527.3,523.1,634.9,
South Korea,  Audiovisual and related services,13.4,23.8,44.3,27.9,55.7,127.2,169.5,182.9,207.8,197.8,190,
South Korea,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,174.8,212.8,245.8,260.8,375.8,
South Korea,GDP Per Capita,14480.91169,14948.1292,15929.3162,16300.40444,16983.04302,17599.44013,18465.31526,19357.20345,19749.20408,19759.37893,20922.1039,19449.44503
South Korea,GDP,678.27,705.22,755.64,776.82,812.70,844.86,888.62,933.99,955.45,958.51,1017.57,
Cyprus,"Advertising, market research and public opinion polling",0,0,31.3257,21.7205,40.3693,51.9888,77.0196,79.2767,58.1534,48.6948,33.4682,
Cyprus,Research and Development,0,0,1.15977,19.2607,24.3365,13.0082,15.0337,39.4159,34.629,24.2736,12.6684,
Cyprus,"Architectural, engineering and other technical services",0,0,2.68196,6.74083,11.7091,15.55,21.0429,30.6758,19.6369,31.7959,17.8074,
Cyprus,"Personal, cultural and recreational services",5.62331,10.4225,14.6377,9.71123,24.8206,41.0684,52.9,77.0136,52.91,36.4335,41.8388,
Cyprus,  Audiovisual and related services,0,1.08927,0.779051,1.10371,2.97161,6.38173,17.0171,18.3209,6.30322,5.22241,5.95037,
Cyprus,"    Other other personal, cultural and recreational services",0,0,0,7.45003,12.3609,19.1442,13.6134,24.3602,18.4653,12.2625,18.2076,
Cyprus,GDP Per Capita,15792.155,16193.48157,16286.44475,16290.02596,16586.64566,16839.80058,17192.30925,17650.5059,17973.67269,17495.68964,17390.3524,18569.10834
Cyprus,GDP,14.52,15.10,15.42,15.71,16.37,17.02,17.73,18.51,19.17,18.98,19.18,
Malta,"Advertising, market research and public opinion polling",0,0,0,0,2.56248,3.95727,6.24712,16.4922,20.4237,9.77484,8.80924,
Malta,Research and Development,0,0,0,0,3.09561,2.8107,18.6986,5.30913,3.3176,3.29378,3.00609,
Malta,"Architectural, engineering and other technical services",0,0,0,0,6.76704,15.456,18.4738,15.2061,24.1599,20.4733,20.5946,
Malta,"Personal, cultural and recreational services",6.14165,29.1662,44.6853,72.6079,161.36,361.693,473.366,721.205,1364.61,1437.47,1385.16,
Malta,  Audiovisual and related services,0,0,0,0,0.460256,17.0286,5.68791,12.4658,38.4894,9.94816,24.3873,
Malta,"    Other other personal, cultural and recreational services",6.14165,29.1662,44.6853,72.6079,160.9,344.665,467.678,708.739,1326.12,1427.52,1360.77,
Malta,GDP Per Capita,14468.04291,14164.21092,14474.67885,14369.57414,14438.13209,14954.34155,15432.97522,15937.13357,16280.41269,15870.64958,16305.99023,16669.61418
Malta,GDP,5.64,5.55,5.70,5.68,5.73,5.96,6.18,6.40,6.57,6.43,6.63,
Slovakia,"Advertising, market research and public opinion polling",17.7002,0,16.1315,25.8661,0,21.7846,46.3447,70.2281,78.5458,56.6875,69.8691,
Slovakia,Research and Development,8.08626,0,6.40203,10.2839,0,17.5565,21.4668,38.8956,43.5073,30.7756,60.1736,
Slovakia,"Architectural, engineering and other technical services",49.1304,0,30.1513,56.3452,0,55.584,96.147,76.0274,174.903,38.7154,62.9051,
Slovakia,"Personal, cultural and recreational services",54.0889,68.00833997,66.8576,69.3018,121.123,123.455,148.487,330.744,99.613,53.517,69.7287,
Slovakia,  Audiovisual and related services,6.77561,0,2.62656,7.99482,4.88357,4.88117,5.24335,8.28826,13.4425,6.17128,7.34371,
Slovakia,"    Other other personal, cultural and recreational services",0,0,0,0,0,92.3754,112.325,275.405,68.7865,36.2266,48.816,
Slovakia,GDP Per Capita,9821.016587,10155.04676,10610.57363,11104.60131,11647.8236,12406.36037,13441.30605,14841.33799,15734.28564,14738.1227,14792.15559,13929.26302
Slovakia,GDP,53.04,54.88,57.40,60.15,63.17,67.38,73.11,80.85,85.84,80.52,80.92,
Czech Republic,"Advertising, market research and public opinion polling",76.2566,65.991,44.9257,43.8029,90.1491,488.79,491.441,643.266,812.028,698.555,755.328,
Czech Republic,Research and Development,20.9361,46.2316,38.9963,11.1978,18.0433,79.0436,105.996,179.157,218.284,193.487,167.871,
Czech Republic,"Architectural, engineering and other technical services",84.9805,90.7085,75.7369,55.632,52.7224,184.435,265.781,518.013,841.778,762.489,707.812,
Czech Republic,"Personal, cultural and recreational services",188.744,161.364,164.961,110.86,199.045,89.8095,116.332,189.923,122.241,135.48,196.537,
Czech Republic,  Audiovisual and related services,25.4869,22.5619,25.841,19.7574,123.339,46.4429,103.022,174.847,105.702,85.2759,177.883,
Czech Republic,"    Other other personal, cultural and recreational services",0,0,110.512,47.0727,35.6265,20.2067,5.64403,6.19687,5.23298,7.32121,6.00267,
Czech Republic,GDP Per Capita,10094.25269,10350.08535,10552.59281,10938.28255,11434.30023,12162.51384,12997.73204,13803.67579,14154.59092,13579.28996,13908.00775,13397.53239
Czech Republic,GDP,103.67,106.22,108.23,112.13,117.16,124.56,133.04,141.19,144.67,138.67,141.89,
Hungary,"Advertising, market research and public opinion polling",0,0,0,0,181.65,214.531,263.044,366.717,443.348,382.482,407.983,
Hungary,Research and Development,0,0,0,0,228.15,230.111,301.206,435.317,420.728,397.11,492.487,
Hungary,"Architectural, engineering and other technical services",0,0,0,0,84.7702,141.109,157.322,273.441,296.888,332.219,319.539,
Hungary,"Personal, cultural and recreational services",206.633,599.886,527.476,845.019,1167.47,1271.57,1066,1359.79,998.767,1073.7,1269.6,
Hungary,  Audiovisual and related services,154.992,539.59,463.338,803.318,1142.55,1234.77,1034.61,1308.56,949.222,988.144,1183.83,
Hungary,"    Other other personal, cultural and recreational services",0,0,0,0,7.4604,15.565,13.842,32.9764,31.382,55.3065,51.6207,
Hungary,GDP Per Capita,8806.635451,9183.541594,9603.878716,10037.48071,10529.46135,10956.40909,11051.75433,11150.53366,11258.23265,10518.72878,10657.84317,11375.44995
Hungary,GDP,89.36,93.03,97.12,101.30,106.06,110.20,111.03,111.89,112.81,105.26,106.50,
Croatia,"Advertising, market research and public opinion polling",58.3271,81.3706,97.1016,158.322,193.326,190.507,213.637,225.877,262.581,238.852,235.238,
Croatia,Research and Development,8.33586,8.34289,9.83951,14.3846,19.1125,19.5642,21.4008,27.0635,76.4628,46.0732,91.6108,
Croatia,"Architectural, engineering and other technical services",80.2224,79.4348,111.934,127.665,170.829,201.92,214.117,276.501,371.535,313.7,340.608,
Croatia,"Personal, cultural and recreational services",30.127,26.96,28.1609,33.3469,29.6098,28.6658,48.9687,65.7857,130.287,96.9995,76.0698,
Croatia,  Audiovisual and related services,5.97475,6.81582,8.54506,9.44914,5.27839,7.40414,16.6562,19.4648,25.0633,22.0546,16.9164,
Croatia,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Croatia,GDP Per Capita,8159.862748,8404.303043,8731.849175,9166.559796,9546.927018,9957.653805,10451.77295,10984.13698,11226.83678,10559.2479,10439.33672,10762.84869
Croatia,GDP,35.99,37.31,39.13,41.23,42.93,44.77,46.98,49.36,50.43,47.40,46.84,
Mexico,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
Mexico,Research and Development,0,0,0,0,0,0,0,0,0,0,0,
Mexico,"Architectural, engineering and other technical services",0,0,0,0,0,0,0,0,0,0,0,
Mexico,"Personal, cultural and recreational services",327.543,317.923,399.598,292.869,357.542,372.915,382.602,308.292,87.0325,80.0004,80.0004,
Mexico,  Audiovisual and related services,327.543,317.923,399.598,292.869,357.542,372.915,382.602,308.292,87.0325,80.0004,80.0004,
Mexico,"    Other other personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0,0,
Mexico,GDP Per Capita,7753.811469,7640.68207,7611.15918,7621.93994,7837.078794,7993.602049,8307.767172,8479.863695,8508.92267,7901.383767,8242.809215,8789.902002
Mexico,GDP,774.81,773.60,779.99,790.53,822.58,848.94,892.67,921.77,935.60,878.73,927.06,
Lithuania,"Advertising, market research and public opinion polling",10.995,22.175,29.5664,45.5025,47.2271,45.1829,55.3004,56.5804,77.7547,84.9696,88.0364,
Lithuania,Research and Development,0,0,0,1.63035,2.97757,2.41338,9.01607,12.9638,10.2758,14.7475,13.6741,
Lithuania,"Architectural, engineering and other technical services",3.2575,4,5.16918,11.4842,6.94558,10.6985,9.94655,9.1582,7.42659,9.62132,12.2292,
Lithuania,"Personal, cultural and recreational services",11.2925,10.4,19.9663,18.3493,9.41607,10.2814,15.6792,16.3322,18.4945,15.8129,16.2998,
Lithuania,  Audiovisual and related services,8.98,4.8,6.41657,11.397,5.36812,2.82307,7.44169,4.76653,3.40177,1.86844,0.532637,
Lithuania,"    Other other personal, cultural and recreational services",0,0,0,6.95229,1.17917,0.175706,0.257212,0.905706,1.053,0.86789,1.22356,
Lithuania,GDP Per Capita,4884.656295,5226.028572,5603.955281,6200.596587,6678.888145,7222.575745,7812.440451,8606.290257,8883.662699,7595.418361,7717.856919,7643.236931
Lithuania,GDP,17.85,19.05,20.36,22.45,24.10,25.98,28.01,30.77,31.67,27.00,27.36,
Latvia,"Advertising, market research and public opinion polling",28.1,41.4,49.3,60.9,85.6,112.5,128.9,166.4,222.4,184.4,191.6,
Latvia,Research and Development,4.1,4,5.8,7.4,8.1,11.5,13.1,19.7,20.4,21.3,24.2,
Latvia,"Architectural, engineering and other technical services",3.9,6.2,5,6.8,11.2,13.1,11.9,23.9,29.2,18,31.2,
Latvia,"Personal, cultural and recreational services",0.8,0.7,0.9,3.5,2.8,5.2,6.4,9.4,11.5,9.3,11.8,
Latvia,  Audiovisual and related services,0.3,0.4,0.3,2.7,1.2,2.4,2.1,4.7,5.5,4.1,6.5,
Latvia,"    Other other personal, cultural and recreational services",0,0,0,0,1.2,2.2,2.8,2.8,3.6,2.6,2.2,
Latvia,GDP Per Capita,4554.717279,4958.524991,5320.135266,5745.348251,6288.959684,7004.449712,7914.894061,8762.101363,8444.035629,6971.125491,6989.570968,7295.38627
Latvia,GDP,10.82,11.69,12.45,13.35,14.50,16.04,18.00,19.80,18.96,15.56,15.50,
Turkey,"Advertising, market research and public opinion polling",0,0,0,0,0,0,0,0,0,0,0,
